E/N(Td),E(V/m),Nr,energy,diffusion,mobility,bolsig_energy,bolsig_defussion,bolsig_mobility,l2_f0,l2_f1,Tg,ion_deg,atol,rtol,g0,bolsig_g0,g2,bolsig_g2
1.0,32.199999999999996,128.0,1.8034032505992865,1.767492139906009e+25,3.96485166163489e+24,1.801,4.734e+24,3.943e+24,0.000994094341810994,2.010951017225081,0.0,0.1,13082.411326746509,1.8252154123374227e-06,2.4200062438235585e-14,2.415e-14,9.209584098635189e-20,9.096e-20
1.0,32.199999999999996,128.0,1.8692567610744,1.7286448230731945e+25,4.525433618786747e+24,1.866,5.561e+24,4.47e+24,0.0016450973460950349,2.026199875388883,0.0,0.01,1761.8297120299499,2.264563916204892e-06,2.5487068314785315e-14,2.541e-14,1.0770650010475938e-19,1.085e-19
1.0,32.199999999999996,128.0,2.0461824628461147,1.6344167324668752e+25,5.313224437606697e+24,2.034,7.146e+24,5.266e+24,0.0063463973550462755,2.0273885759463313,0.0,0.001,230.75095834690381,3.1834156966608543e-06,2.9049675835002467e-14,2.88e-14,1.1728057598518556e-19,1.183e-19
1.0,32.199999999999996,128.0,2.337271315986982,1.5022055078257212e+25,5.74851697750335e+24,2.319,8.933e+24,5.738e+24,0.00954827496371994,2.0242442822843207,0.0,0.0001,0.1253459575434359,9.384330899622267e-09,3.5181384131832136e-14,3.478e-14,7.525964787733466e-20,7.888e-20
1.0,32.199999999999996,128.0,2.6184791734454107,1.3684213517895833e+25,5.522408322325932e+24,2.61,1.042e+25,5.556e+24,0.010387944778017022,2.002673917248854,0.0,1e-05,0.018461212234078813,6.204931324885942e-09,4.0912114660625277e-14,4.078e-14,6.683167562577236e-21,8.761e-21
1.0,32.199999999999996,128.0,2.5838847247490477,1.2731512601641694e+25,4.3015929961860325e+24,2.59,1.151e+25,4.377e+24,0.01039700201866997,1.920121261855466,0.0,1e-06,0.0032476799607651444,3.942989801535766e-09,3.8277588602348086e-14,3.852e-14,5.946976451011896e-28,2.94e-27
5.0,160.99999999999997,128.0,2.4695986957408507,1.4585488874882317e+25,2.6352624838865627e+24,2.466,4.296e+24,2.613e+24,0.0012365217017231028,2.016571474501927,0.0,0.1,9932.828987261728,2.0854360831972525e-06,3.8203725851594585e-14,3.812e-14,3.32093687875283e-18,3.305e-18
5.0,160.99999999999997,128.0,2.627765206621929,1.4043441026890517e+25,3.102478272588152e+24,2.613,5.358e+24,3.072e+24,0.006414854364887506,2.022178043205423,0.0,0.01,228.49009656845803,4.884167151011412e-07,4.180995752922939e-14,4.146e-14,3.904413042403195e-18,3.863e-18
5.0,160.99999999999997,128.0,3.0406283309231643,1.2816076132410456e+25,3.397967254178677e+24,3.009,6.886e+24,3.397e+24,0.013156277437937238,2.013947885492489,0.0,0.001,0.7273974227320367,9.916872171098603e-09,5.159464320596931e-14,5.082e-14,4.081175771408439e-18,4.096e-18
5.0,160.99999999999997,128.0,3.8085373261488336,1.095605658685459e+25,2.8982068668508055e+24,3.758,7.957e+24,2.949e+24,0.021862304089834545,1.9846686971041332,0.0,0.0001,0.09890731797970806,2.582754226786996e-09,7.078106083969875e-14,6.947e-14,3.0290255957214304e-18,3.12e-18
