E/N(Td),E(V/m),Nr,energy,diffusion,mobility,bolsig_energy,bolsig_defussion,bolsig_mobility,l2_f0,l2_f1,g0,bolsig_g0,g2,bolsig_g2
0.004596273291925466,0.148,32,0.10505999175105396,2.245116353650497e+25,1.2719502978899176e+26,0.1062,2.225e+25,1.252e+26,0.021882830466348632,2.001994655746487,1.7363207678931963e-15,1.731e-15,0.0,0.0
0.004596273291925466,0.148,64,0.1063148589651168,2.2644903751693664e+25,1.2737765897605805e+26,0.1062,2.225e+25,1.252e+26,0.012743136477866129,1.9951575875137966,1.7317393552953802e-15,1.731e-15,0.0,0.0
0.004596273291925466,0.148,128,0.10633030891871205,2.264459585128191e+25,1.273730436223187e+26,0.1062,2.225e+25,1.252e+26,0.01282124954599413,1.9961135349847539,1.731770363903228e-15,1.731e-15,0.0,0.0
0.005270902376166431,0.16972305651255906,32,0.16460242980084522,3.5029766930743628e+25,1.4084377105464548e+26,0.165,3.475e+25,1.395e+26,0.010462410991346921,1.9943526154954982,1.3686822177073243e-15,1.37e-15,0.0,0.0
0.005270902376166431,0.16972305651255906,64,0.16502717079867774,3.509346878071513e+25,1.4079044964085806e+26,0.165,3.475e+25,1.395e+26,0.005612206811037918,1.991142487362178,1.367327580285926e-15,1.37e-15,0.0,0.0
0.005270902376166431,0.16972305651255906,128,0.16502957118562636,3.509069849036309e+25,1.4078452416222509e+26,0.165,3.475e+25,1.395e+26,0.005940279502520703,1.9926824624756416,1.3674000424624468e-15,1.37e-15,0.0,0.0
0.006044551769339708,0.19463456697273857,32,0.2083689625638754,4.273451586141296e+25,1.387512852109279e+26,0.2082,4.249e+25,1.381e+26,0.005409946817076637,1.9924999889596768,1.1563324122227011e-15,1.159e-15,0.0,0.0
0.006044551769339708,0.19463456697273857,64,0.20826403194399495,4.272385885118976e+25,1.3878713248935453e+26,0.2082,4.249e+25,1.381e+26,0.0027427091629964257,1.9933249651756813,1.1565147118784041e-15,1.159e-15,0.0,0.0
0.006044551769339708,0.19463456697273857,128,0.208264494003498,4.272215728954333e+25,1.387876790640513e+26,0.2082,4.249e+25,1.381e+26,0.0027378818271096253,1.9940559454011273,1.1565593119530833e-15,1.159e-15,0.0,0.0
0.0069317554158157555,0.2232025243892673,32,0.23871113019160878,4.661811546553076e+25,1.2936813842187587e+26,0.2386,4.643e+25,1.29e+26,0.004532242154856787,1.9932974754171775,1.0642128760418708e-15,1.066e-15,0.0,0.0
0.0069317554158157555,0.2232025243892673,64,0.2386006190599973,4.661390299074882e+25,1.2941579035502976e+26,0.2386,4.643e+25,1.29e+26,0.002333389537765336,1.9941818759520509,1.0641015908310951e-15,1.066e-15,0.0,0.0
0.0069317554158157555,0.2232025243892673,128,0.23860085664484232,4.661322246343665e+25,1.294149636452538e+26,0.2386,4.643e+25,1.29e+26,0.0021292509716085424,1.993956002533177,1.0641150500809984e-15,1.066e-15,0.0,0.0
0.00794918051466037,0.25596361257206385,32,0.2616628852087272,4.824914167684828e+25,1.1754159289732033e+26,0.2616,4.812e+25,1.174e+26,0.0033458495777283393,1.9975567994075745,1.0435912746136006e-15,1.045e-15,0.0,0.0
0.00794918051466037,0.25596361257206385,64,0.2616082589215298,4.8249180506580915e+25,1.175652577842636e+26,0.2616,4.812e+25,1.174e+26,0.0014128192053162777,1.9978253244759498,1.0434420090782632e-15,1.045e-15,0.0,0.0
0.00794918051466037,0.25596361257206385,128,0.2616084577880179,4.824848791598503e+25,1.175640147285325e+26,0.2616,4.812e+25,1.174e+26,0.0011990435774765346,1.9980031935661373,1.04345999146299e-15,1.045e-15,0.0,0.0
0.00911594063323132,0.29353328839004844,32,0.2808606946458351,4.8675955599440744e+25,1.0574495688849571e+26,0.2809,4.857e+25,1.056e+26,0.0029256605557808654,1.9988574425267194,1.0650697529162531e-15,1.066e-15,0.0,0.0
0.00911594063323132,0.29353328839004844,64,0.2808662640149167,4.867657169837644e+25,1.057484916877871e+26,0.2809,4.857e+25,1.056e+26,0.001231367070881438,1.9988294576202257,1.0650665997522484e-15,1.066e-15,0.0,0.0
0.00911594063323132,0.29353328839004844,128,0.2808664424912342,4.867600671396641e+25,1.0575007088994467e+26,0.2809,4.857e+25,1.056e+26,0.001027958591371244,1.998951596056913,1.0650849680494117e-15,1.066e-15,0.0,0.0
0.010453954778777379,0.33661734387663156,32,0.29828915517932697,4.836987065613524e+25,9.467789893099768e+25,0.2983,4.828e+25,9.457e+25,0.002809781962719656,2.0001388442478474,1.1159356745420508e-15,1.117e-15,0.0,0.0
0.010453954778777379,0.33661734387663156,64,0.2983413437887196,4.836809460751568e+25,9.46637482082772e+25,0.2983,4.828e+25,9.457e+25,0.0009858654983465995,1.999716698675827,1.1162013555594065e-15,1.117e-15,0.0,0.0
0.010453954778777379,0.33661734387663156,128,0.29834150528462644,4.836796758160495e+25,9.466381646998031e+25,0.2983,4.828e+25,9.457e+25,0.0007832945916155211,1.9997744683962602,1.1161945209379093e-15,1.117e-15,0.0,0.0
0.011988359173636281,0.3860251653910882,32,0.3150456642845208,4.762594541159389e+25,8.465180555388536e+25,0.3151,4.754e+25,8.455e+25,0.0027860721932403735,2.0006779655287885,1.1895950564288424e-15,1.191e-15,0.0,0.0
0.011988359173636281,0.3860251653910882,64,0.31513163234873937,4.762258299217405e+25,8.462757782420106e+25,0.3151,4.754e+25,8.455e+25,0.0009265766971700667,2.0001279628327455,1.1900950524563104e-15,1.191e-15,0.0,0.0
0.011988359173636281,0.3860251653910882,128,0.31513178032922873,4.762236184067485e+25,8.462594717123632e+25,0.3151,4.754e+25,8.455e+25,0.0007020320666442318,2.000175062818014,1.1901118417808507e-15,1.191e-15,0.0,0.0
0.013747979469729232,0.44268493892528116,32,0.33179940380414796,4.6598813712896e+25,7.56638581806217e+25,0.3319,4.652e+25,7.558e+25,0.0027275983601652743,2.0007387366831377,1.2836420129682739e-15,1.285e-15,0.0,0.0
0.013747979469729232,0.44268493892528116,64,0.3318945423105431,4.6594800761429495e+25,7.563876165717897e+25,0.3319,4.652e+25,7.558e+25,0.0008804996850319649,2.0002256772635074,1.284243911452942e-15,1.285e-15,0.0,0.0
0.013747979469729232,0.44268493892528116,128,0.3318946797112365,4.6594745753954194e+25,7.5639417208396415e+25,0.3319,4.652e+25,7.558e+25,0.0006401946133089518,2.000252853343248,1.2842425422536998e-15,1.285e-15,0.0,0.0
0.015765872273475375,0.507661087205907,32,0.34896261446196636,4.538360554499165e+25,6.766088596608859e+25,0.3491,4.531e+25,6.758e+25,0.0027128151704781185,2.0009896131381852,1.3972689918031918e-15,1.399e-15,0.0,0.0
0.015765872273475375,0.507661087205907,64,0.34906050461253946,4.537939296608036e+25,6.763981734478431e+25,0.3491,4.531e+25,6.758e+25,0.0008816514156685459,2.000491357590563,1.3979430052258292e-15,1.399e-15,0.0,0.0
0.015765872273475375,0.507661087205907,128,0.34906063486500555,4.537940566867727e+25,6.763995995069563e+25,0.3491,4.531e+25,6.758e+25,0.0006548097934228856,2.000488194844506,1.3979387172646927e-15,1.399e-15,0.0,0.0
0.01807994615433006,0.5821742661694278,32,0.366857241017969,4.403980649811156e+25,6.0544544185087825e+25,0.3669,4.397e+25,6.049e+25,0.002709482176161028,2.0009773091544276,1.531029360927856e-15,1.532e-15,0.0,0.0
0.01807994615433006,0.5821742661694278,64,0.36693977161910385,4.403634257214703e+25,6.053139897874208e+25,0.3669,4.397e+25,6.049e+25,0.0008515590403107156,2.000549990226314,1.5316659780491941e-15,1.532e-15,0.0,0.0
0.01807994615433006,0.5821742661694278,128,0.3669398965710511,4.403633484580173e+25,6.053218171913819e+25,0.3669,4.397e+25,6.049e+25,0.0006077637960826683,2.0005567674194955,1.5316676073830263e-15,1.532e-15,0.0,0.0
0.0207336738033472,0.6676242964677798,32,0.3857185774535914,4.261250213871363e+25,5.423274727619553e+25,0.3858,4.255e+25,5.419e+25,0.002614110504807383,2.000884517155633,1.6860682776723469e-15,1.687e-15,0.0,0.0
0.0207336738033472,0.6676242964677798,64,0.3857779757993882,4.261031881511765e+25,5.422248410571896e+25,0.3858,4.255e+25,5.419e+25,0.0008007082344131239,2.000576246211952,1.686533705805751e-15,1.687e-15,0.0,0.0
0.0207336738033472,0.6676242964677798,128,0.38577809663321727,4.2610255049812135e+25,5.4222362767059385e+25,0.3858,4.255e+25,5.419e+25,0.0005741552258265886,2.000584668101296,1.6865346979158468e-15,1.687e-15,0.0,0.0
0.023776908720530142,0.7656164608010705,32,0.405762877433058,4.113085501497041e+25,4.8625294890129546e+25,0.4058,4.108e+25,4.859e+25,0.0025962987314921194,2.000740681472401,1.8640225789804697e-15,1.865e-15,0.0,0.0
0.023776908720530142,0.7656164608010705,64,0.40578665182051465,4.113014612488307e+25,4.861981149211761e+25,0.4058,4.108e+25,4.859e+25,0.0008101331753483881,2.0005649370955823,1.864243675191137e-15,1.865e-15,0.0,0.0
0.023776908720530142,0.7656164608010705,128,0.405786770125276,4.113016991236283e+25,4.862107666789588e+25,0.4058,4.108e+25,4.859e+25,0.0005729719062844025,2.000574592673627,1.864243533910642e-15,1.865e-15,0.0,0.0
0.027266821773435777,0.8779916611046318,32,0.42715906129962233,3.961780450765604e+25,4.364518211219204e+25,0.4272,3.957e+25,4.361e+25,0.002505350240923783,2.0006389782358527,2.0668687962603353e-15,2.067e-15,0.0,0.0
