E/N(Td),E(V/m),Nr,energy,diffusion,mobility,bolsig_energy,bolsig_defussion,bolsig_mobility,l2_f0,l2_f1,g0,bolsig_g0,g2,bolsig_g2
0.004596273291925466,0.148,32,0.1063033060851129,2.2328176611779775e+25,1.2542199231886135e+26,0.1062,2.224e+25,1.251e+26,0.0020172853259161697,2.0012744334144186,1.729638354467147e-15,1.729e-15,0.0,0.0
0.004596273291925466,0.148,64,0.10633225465422297,2.233356998440696e+25,1.254274739571002e+26,0.1062,2.224e+25,1.251e+26,0.0012111650484242329,2.0012176773702604,1.7294790683013105e-15,1.729e-15,0.0,0.0
0.004596273291925466,0.148,128,0.1063327467664848,2.233370756811228e+25,1.2542780465264317e+26,0.1062,2.224e+25,1.251e+26,0.0011869133215151294,2.001226575663193,1.7294737636006883e-15,1.729e-15,0.0,0.0
0.005270902376166431,0.16972305651255906,32,0.1649891017416888,3.4832168885216357e+25,1.3964217848442934e+26,0.1649,3.474e+25,1.395e+26,0.0011625157943238678,2.000466176353035,1.3692296439556478e-15,1.37e-15,0.0,0.0
0.005270902376166431,0.16972305651255906,64,0.16503004993236908,3.4838584305355077e+25,1.3963966752261963e+26,0.1649,3.474e+25,1.395e+26,0.0003288764776332944,2.0001937448807126,1.3690960059302499e-15,1.37e-15,0.0,0.0
0.005270902376166431,0.16972305651255906,128,0.16503040890396764,3.4838680475711257e+25,1.3963981896051957e+26,0.1649,3.474e+25,1.395e+26,0.0003021111513215204,2.000196582249508,1.369092967491064e-15,1.37e-15,0.0,0.0
0.006044551769339708,0.19463456697273857,32,0.2082312521425686,4.256272906221877e+25,1.3821312136634693e+26,0.2082,4.249e+25,1.381e+26,0.0008144235339774917,2.000128190436125,1.1583081704570025e-15,1.159e-15,0.0,0.0
0.006044551769339708,0.19463456697273857,64,0.2082651554201708,4.256657266792838e+25,1.3820406039946253e+26,0.2082,4.249e+25,1.381e+26,0.0004020839131790666,1.9997953355412013,1.1582764056108696e-15,1.159e-15,0.0,0.0
0.006044551769339708,0.19463456697273857,128,0.20826524554053066,4.256661273542636e+25,1.3820400507971646e+26,0.2082,4.249e+25,1.381e+26,0.00040587915564246305,1.9997996565696765,1.1582752579118513e-15,1.159e-15,0.0,0.0
0.0069317554158157555,0.2232025243892673,32,0.23857958772877047,4.649127355717413e+25,1.2903031369573458e+26,0.2385,4.642e+25,1.29e+26,0.000612981745530104,2.0000359362159794,1.0658372919333498e-15,1.066e-15,0.0,0.0
0.0069317554158157555,0.2232025243892673,64,0.23860180623172597,4.649289846542565e+25,1.2902126213782736e+26,0.2385,4.642e+25,1.29e+26,0.00042965035920194657,1.9997915635801082,1.065864702213774e-15,1.066e-15,0.0,0.0
0.0069317554158157555,0.2232025243892673,128,0.23860177985550807,4.649291462423607e+25,1.2902119091324781e+26,0.2385,4.642e+25,1.29e+26,0.00043284513031244406,1.999795097703802,1.0658643198331965e-15,1.066e-15,0.0,0.0
0.00794918051466037,0.25596361257206385,32,0.26159816139545966,4.818279936315791e+25,1.1737729916262492e+26,0.2616,4.812e+25,1.174e+26,0.0005593308651598937,1.9999195119382975,1.044302640168535e-15,1.045e-15,0.0,0.0
0.00794918051466037,0.25596361257206385,64,0.26160961110864284,4.818326603913445e+25,1.1737124142783248e+26,0.2616,4.812e+25,1.174e+26,0.0004041545532263895,1.9998221913893672,1.0443390213829932e-15,1.045e-15,0.0,0.0
0.00794918051466037,0.25596361257206385,128,0.2616095494093902,4.8183270226482865e+25,1.1737123168435713e+26,0.2616,4.812e+25,1.174e+26,0.0004054944976164422,1.9998265107233981,1.0443388614998407e-15,1.045e-15,0.0,0.0
0.00911594063323132,0.29353328839004844,32,0.2808653345431138,4.86235828030283e+25,1.056073127826255e+26,0.2808,4.857e+25,1.056e+26,0.0005708758779293019,1.9999184322260175,1.0658301171650759e-15,1.066e-15,0.0,0.0
0.00911594063323132,0.29353328839004844,64,0.2808677414516767,4.8623636539129005e+25,1.0560490323343153e+26,0.2808,4.857e+25,1.056e+26,0.0003157812517008864,1.999953917522397,1.065843272430443e-15,1.066e-15,0.0,0.0
0.00911594063323132,0.29353328839004844,128,0.28086767249792655,4.862363867977524e+25,1.0560483916472802e+26,0.2808,4.857e+25,1.056e+26,0.0003127970366423198,1.9999575876856996,1.0658430952834922e-15,1.066e-15,0.0,0.0
0.010453954778777379,0.33661734387663156,32,0.29834685673132333,4.833131844862229e+25,9.457403886127307e+25,0.2983,4.828e+25,9.457e+25,0.0005543114213474239,1.9998706612021095,1.116714721262815e-15,1.117e-15,0.0,0.0
0.010453954778777379,0.33661734387663156,64,0.29834291920375616,4.833135233481542e+25,9.45740957912122e+25,0.2983,4.828e+25,9.457e+25,0.00023438908256942398,1.9999824843645608,1.1166936909006077e-15,1.117e-15,0.0,0.0
0.010453954778777379,0.33661734387663156,128,0.29834285138288974,4.833135342222248e+25,9.457403997023027e+25,0.2983,4.828e+25,9.457e+25,0.00023253731083163108,1.9999860704820966,1.1166934528883116e-15,1.117e-15,0.0,0.0
0.011988359173636281,0.3860251653910882,32,0.3151412073166672,4.759205319638404e+25,8.45542704879667e+25,0.3151,4.754e+25,8.455e+25,0.0005231583795635827,1.9998767762068803,1.190555969143273e-15,1.191e-15,0.0,0.0
0.011988359173636281,0.3860251653910882,64,0.3151332939466575,4.759220299863515e+25,8.455557671817964e+25,0.3151,4.754e+25,8.455e+25,0.00018059439319867329,2.000020260417582,1.1905023303371551e-15,1.191e-15,0.0,0.0
0.011988359173636281,0.3860251653910882,128,0.3151332292084207,4.759220363761558e+25,8.45555540729531e+25,0.3151,4.754e+25,8.455e+25,0.00017545680597501204,2.000023594633076,1.1905020349300286e-15,1.191e-15,0.0,0.0
0.013747979469729232,0.44268493892528116,32,0.33190631586841457,4.656687071863257e+25,7.557866080825685e+25,0.3319,4.652e+25,7.558e+25,0.0005012642501473568,1.999749170328429,1.2846701685376617e-15,1.285e-15,0.0,0.0
0.013747979469729232,0.44268493892528116,64,0.33189628594823334,4.656713883029826e+25,7.5580479755763865e+25,0.3319,4.652e+25,7.558e+25,0.00016021921386990244,1.9998975450923941,1.284591483688222e-15,1.285e-15,0.0,0.0
0.013747979469729232,0.44268493892528116,128,0.3318962242440814,4.656714002649122e+25,7.558044148307594e+25,0.3319,4.652e+25,7.558e+25,0.00015641266191266946,1.9999007441632313,1.2845911082839536e-15,1.285e-15,0.0,0.0
0.015765872273475375,0.507661087205907,32,0.34907262770734543,4.535330088567057e+25,6.75875661219018e+25,0.3491,4.531e+25,6.759e+25,0.00048390540951917684,1.9999265584142563,1.3983381529588633e-15,1.398e-15,0.0,0.0
0.015765872273475375,0.507661087205907,64,0.3490623314639553,4.5353624353795e+25,6.7589215756246855e+25,0.3491,4.531e+25,6.759e+25,0.00014499572997570117,2.000063838105927,1.3982482393389814e-15,1.398e-15,0.0,0.0
0.015765872273475375,0.507661087205907,128,0.34906227239892024,4.535362545361343e+25,6.758914999081691e+25,0.3491,4.531e+25,6.759e+25,0.00014084289498523357,2.000066785010847,1.3982478134339385e-15,1.398e-15,0.0,0.0
0.01807994615433006,0.5821742661694278,32,0.3669511692224859,4.401339195240189e+25,6.048933989173202e+25,0.3669,4.397e+25,6.049e+25,0.000431275659510663,1.9999378293364805,1.5319872618665744e-15,1.532e-15,0.0,0.0
0.01807994615433006,0.5821742661694278,64,0.36694168412768735,4.401371031338566e+25,6.049059972362004e+25,0.3669,4.397e+25,6.049e+25,0.00014236414345844927,2.0000574486588696,1.531897150418611e-15,1.532e-15,0.0,0.0
0.01807994615433006,0.5821742661694278,128,0.36694162717247436,4.401371127891703e+25,6.049056551145763e+25,0.3669,4.397e+25,6.049e+25,0.00013499319199725254,2.000060223849797,1.5318966728004478e-15,1.532e-15,0.0,0.0
0.0207336738033472,0.6676242964677798,32,0.3857880062282825,4.258960523372085e+25,5.418824924414589e+25,0.3858,4.255e+25,5.419e+25,0.0004374536767774504,1.9999495095241921,1.6867749699034873e-15,1.687e-15,0.0,0.0
0.0207336738033472,0.6676242964677798,64,0.3857799780991992,4.258987474337559e+25,5.418907139166818e+25,0.3858,4.255e+25,5.419e+25,0.00013952491424320117,2.0000505925264713,1.6866931227029568e-15,1.687e-15,0.0,0.0
0.0207336738033472,0.6676242964677798,128,0.38577992250548343,4.258987547031111e+25,5.418906205580841e+25,0.3858,4.255e+25,5.419e+25,0.0001338403385623849,2.0000532461112392,1.6866926011996635e-15,1.687e-15,0.0,0.0
0.023776908720530142,0.7656164608010705,32,0.40579502071565976,4.111153574206977e+25,4.859212950554311e+25,0.4058,4.108e+25,4.859e+25,0.0004192191744418204,1.9999975845000553,1.864382885656241e-15,1.864e-15,0.0,0.0
0.023776908720530142,0.7656164608010705,64,0.4057887496626511,4.111173516174436e+25,4.859256316130455e+25,0.4058,4.108e+25,4.859e+25,0.00014057020344778376,2.000081533379573,1.8643151359114294e-15,1.864e-15,0.0,0.0
0.023776908720530142,0.7656164608010705,128,0.4057886952125639,4.11117356208572e+25,4.859254897537486e+25,0.4058,4.108e+25,4.859e+25,0.00013709787446115543,2.0000840029086917,1.864314580235461e-15,1.864e-15,0.0,0.0
0.027266821773435777,0.8779916611046318,32,0.4271676178593592,3.960103212470751e+25,4.36172780416973e+25,0.4272,3.957e+25,4.362e+25,0.0004079592830884644,2.0000347749651484,2.0669095556374777e-15,2.067e-15,0.0,0.0
0.027266821773435777,0.8779916611046318,64,0.42716325929704124,3.960115394596671e+25,4.361740708485002e+25,0.4272,3.957e+25,4.362e+25,0.0001540483677325357,2.0001035815366106,2.066859893635549e-15,2.067e-15,0.0,0.0
0.027266821773435777,0.8779916611046318,128,0.4271632054468979,3.96011542446892e+25,4.3617419044997056e+25,0.4272,3.957e+25,4.362e+25,0.00015029929189347622,2.0001059063251145,2.066859283870566e-15,2.067e-15,0.0,0.0
0.03126897522142375,1.0068610021298448,32,0.4500963351639149,3.807478925044373e+25,3.91894381844696e+25,0.4501,3.804e+25,3.919e+25,0.0003992400458924594,2.0000283840082025,2.2968215785968482e-15,2.297e-15,0.0,0.0
0.03126897522142375,1.0068610021298448,64,0.4500936027439923,3.807484703124224e+25,3.918938815109287e+25,0.4501,3.804e+25,3.919e+25,0.0001631116934697509,2.0000856001496397,2.2967888104108646e-15,2.297e-15,0.0,0.0
0.03126897522142375,1.0068610021298448,128,0.45009354927411843,3.8074847129424265e+25,3.918939020859931e+25,0.4501,3.804e+25,3.919e+25,0.00015926847711600004,2.000087816780958,2.2967881830320357e-15,2.297e-15,0.0,0.0
0.03585855438240212,1.154645451113348,32,0.4747735038733688,3.654602303393152e+25,3.524337529404887e+25,0.4748,3.652e+25,3.524e+25,0.0003927777586045569,2.000036382068216,2.55692278579858e-15,2.557e-15,0.0,0.0
0.03585855438240212,1.154645451113348,64,0.474772147104198,3.6546030680029473e+25,3.5243224439991887e+25,0.4748,3.652e+25,3.524e+25,0.00017100350686418458,2.000084718320239,2.5569054434499037e-15,2.557e-15,0.0,0.0
0.03585855438240212,1.154645451113348,128,0.47477209370119144,3.654603067856653e+25,3.5243219398709646e+25,0.4748,3.652e+25,3.524e+25,0.00016767902123953962,2.000086753098842,2.556904772754232e-15,2.557e-15,0.0,0.0
0.04112178008042638,1.3241213185897291,32,0.5013992281156817,3.502546801012875e+25,3.172211982431608e+25,0.5014,3.5e+25,3.172e+25,0.00038690477774392507,2.0000498067844195,2.850355995784861e-15,2.85e-15,0.0,0.0
0.04112178008042638,1.3241213185897291,64,0.5013988817118653,3.5025443205834953e+25,3.1721951654931384e+25,0.5014,3.5e+25,3.172e+25,0.00019323773837992523,2.000091497742838,2.8503505611290814e-15,2.85e-15,0.0,0.0
0.04112178008042638,1.3241213185897291,128,0.5013988281573196,3.502544289163557e+25,3.172191595257997e+25,0.5014,3.5e+25,3.172e+25,0.00019087180103477533,2.000093432732035,2.8503499135984985e-15,2.85e-15,0.0,0.0
0.0471575284086975,1.5184724147600592,32,0.5301852344841843,3.3522040073782084e+25,2.857598195086911e+25,0.5302,3.35e+25,2.857e+25,0.0003996814579750915,2.0000495887020326,3.1806046403549665e-15,3.181e-15,0.0,0.0
0.0471575284086975,1.5184724147600592,64,0.5301855563431732,3.3521996663866648e+25,2.8575802472703886e+25,0.5302,3.35e+25,2.857e+25,0.0002209679644580319,2.000086444247691,3.1806076585679597e-15,3.181e-15,0.0,0.0
0.0471575284086975,1.5184724147600592,128,0.5301855024471491,3.352199639761456e+25,2.857578918102395e+25,0.5302,3.35e+25,2.857e+25,0.00021874786302205813,2.000088188031066,3.180606905099295e-15,3.181e-15,0.0,0.0
0.05407918823717549,1.7413498612370506,32,0.5613583534843036,3.204325796741303e+25,2.5761670751649983e+25,0.5614,3.202e+25,2.576e+25,0.00040632910488424433,2.000078501887202,3.551507466869369e-15,3.552e-15,0.0,0.0
0.05407918823717549,1.7413498612370506,64,0.5613590933302722,3.2043205782398333e+25,2.5761466800673064e+25,0.5614,3.202e+25,2.576e+25,0.00027001487699150834,2.000112125686772,3.551515968236494e-15,3.552e-15,0.0,0.0
0.05407918823717549,1.7413498612370506,128,0.5613590388833032,3.2043205405752078e+25,2.5761464044786785e+25,0.5614,3.202e+25,2.576e+25,0.00026752480788844825,2.000113752800467,3.5515151897130675e-15,3.552e-15,0.0,0.0
0.062016791360347684,1.9969406818031952,32,0.5951636575468864,3.0595518405963384e+25,2.324124785135448e+25,0.5952,3.057e+25,2.324e+25,0.00042026487190200546,2.000071556395287,3.967280323319298e-15,3.967e-15,0.0,0.0
0.062016791360347684,1.9969406818031952,64,0.5951645495371696,3.059546544587414e+25,2.324110367025132e+25,0.5952,3.057e+25,2.324e+25,0.00029606969066480994,2.0001021956365053,3.967291063122517e-15,3.967e-15,0.0,0.0
0.062016791360347684,1.9969406818031952,128,0.5951644944511986,3.059546498404329e+25,2.324110823709963e+25,0.5952,3.057e+25,2.324e+25,0.0002946052511882524,2.000103886475433,3.9672902378986794e-15,3.967e-15,0.0,0.0
0.0711194553025667,2.2900464607426474,32,0.6318668467411461,2.918427969470936e+25,2.098167621609634e+25,0.6319,2.916e+25,2.098e+25,0.00043373697005854,2.0000876302755715,4.432535789227655e-15,4.432e-15,0.0,0.0
0.0711194553025667,2.2900464607426474,64,0.6318677795129894,2.91842291529911e+25,2.0981574165846133e+25,0.6319,2.916e+25,2.098e+25,0.0003259861821464055,2.000116157178873,4.432547278718334e-15,4.432e-15,0.0,0.0
0.0711194553025667,2.2900464607426474,128,0.6318677235926793,2.9184228596553385e+25,2.0981576401968956e+25,0.6319,2.916e+25,2.098e+25,0.00032440128875267806,2.000117592280218,4.4325464297893636e-15,4.432e-15,0.0,0.0
0.08155818467202665,2.6261735464392575,32,0.6717569958664912,2.7814189692658398e+25,1.8953925562354757e+25,0.6718,2.78e+25,1.895e+25,0.0004441049850559212,2.000105151151435,4.952314768678722e-15,4.952e-15,0.0,0.0
0.08155818467202665,2.6261735464392575,64,0.6717578680355183,2.7814143194873286e+25,1.8953800687123812e+25,0.6718,2.78e+25,1.895e+25,0.000347196091770762,2.0001318701591555,4.952325642380891e-15,4.952e-15,0.0,0.0
0.08155818467202665,2.6261735464392575,128,0.6717578111617547,2.781414257009451e+25,1.8953794650010975e+25,0.6718,2.78e+25,1.895e+25,0.00034686105940389924,2.0001332829324867,4.9523247754319786e-15,4.952e-15,0.0,0.0
0.09352908369021694,3.011636494824985,32,0.715148607842038,2.648918560645413e+25,1.7132374799364278e+25,0.7152,2.647e+25,1.713e+25,0.0004362370813826571,2.0000817025577504,5.532117239765053e-15,5.532e-15,0.0,0.0
0.09352908369021694,3.011636494824985,64,0.7151493443271558,2.64891441335069e+25,1.713227986114939e+25,0.7152,2.647e+25,1.713e+25,0.0003447459607500066,2.0001071188024566,5.532126457793427e-15,5.532e-15,0.0,0.0
0.09352908369021694,3.011636494824985,128,0.715149286482867,2.648914352160851e+25,1.7132266983982198e+25,0.7152,2.647e+25,1.713e+25,0.00034481303009686946,2.0001083700691806,5.5321255200286785e-15,5.532e-15,0.0,0.0
0.10725704024812537,3.453676695989636,32,0.7623835396574778,2.521249325304838e+25,1.5494574989220648e+25,0.7624,2.52e+25,1.549e+25,0.0004340563139367151,2.0000779544985967,6.1779292356857315e-15,6.178e-15,0.0,0.0
0.10725704024812537,3.453676695989636,64,0.7623841391860624,2.5212456586638454e+25,1.5494493652579576e+25,0.7624,2.52e+25,1.549e+25,0.00034789110971858054,2.0001018062190683,6.177936714515935e-15,6.178e-15,0.0,0.0
0.10725704024812537,3.453676695989636,128,0.7623840802284093,2.5212455873771645e+25,1.54944889660334e+25,0.7624,2.52e+25,1.549e+25,0.00034713171438437314,2.0001030524892975,6.177935796520147e-15,6.178e-15,0.0,0.0
0.12299995069866484,3.9605984124970073,32,0.8138327454138643,2.3986766601964797e+25,1.4020610918834635e+25,0.8139,2.397e+25,1.402e+25,0.00040791730891936073,2.0000720364184765,6.8962763768839615e-15,6.896e-15,0.0,0.0
0.12299995069866484,3.9605984124970073,64,0.8138331993041623,2.398673419756871e+25,1.4020581510334765e+25,0.8139,2.397e+25,1.402e+25,0.00033225297009684194,2.0000944383161805,6.896282008399057e-15,6.896e-15,0.0,0.0
0.12299995069866484,3.9605984124970073,128,0.8138331392570617,2.398673349622415e+25,1.4020566563643579e+25,0.8139,2.397e+25,1.402e+25,0.0003314434742628628,2.000095652697546,6.896281046259144e-15,6.896e-15,0.0,0.0
0.14105356475318556,4.541924785052575,32,0.8698972992823195,2.2814050554146536e+25,1.269300777564773e+25,0.8699,2.28e+25,1.269e+25,0.00025970963023835223,2.000097125959424,7.694256712186683e-15,7.694e-15,0.0,0.0
0.14105356475318556,4.541924785052575,64,0.8698976276938959,2.2814021528502226e+25,1.2692952732391495e+25,0.8699,2.28e+25,1.269e+25,0.0002622692110079191,2.000122161244643,7.694260811302063e-15,7.694e-15,0.0,0.0
