E/N(Td),E(V/m),Nr,energy,diffusion,mobility,bolsig_energy,bolsig_defussion,bolsig_mobility,l2_f0,l2_f1,Tg,ion_deg,atol,rtol,g0,bolsig_g0,g2,bolsig_g2
0.004596273291925466,0.148,64.0,0.14139979237953715,3.0469795451143216e+25,2.6904530807327053e+24,0.1414,1.695e+25,1.798e+26,0.0007160662603453129,1.014982966019237,1e-12,0.1,78116.92009947219,7.182840266678068e-06,1.2538791339824047e-15,1.254e-15,0.0,0.0
0.004596273291925466,0.148,64.0,0.14139964939581484,3.052445873645977e+25,1.6615243888553214e+25,0.1414,1.697e+25,1.8e+26,0.0028539463295271053,1.0932484332652093,1e-12,0.01,83551.37217101378,1.038768522814941e-06,1.2528921755560893e-15,1.254e-15,0.0,0.0
0.004596273291925466,0.148,64.0,0.141598013610464,3.0556948637360106e+25,9.177157352650996e+25,0.1416,1.704e+25,1.804e+26,0.00282737863277792,1.513902546906516,1e-12,0.001,45448.17383715626,4.156266523451193e-06,1.2524354755360629e-15,1.254e-15,0.0,0.0
0.0052637116343910734,0.16949151462739254,64.0,0.15659993389241894,3.311812667358966e+25,2.917508870001128e+24,0.1566,1.725e+25,1.652e+26,0.0015650279723644132,1.0177469090289157,1e-12,0.1,93557.7528166163,1.8805165620876937e-06,1.2199932165459036e-15,1.221e-15,0.0,0.0
0.0052637116343910734,0.16949151462739254,64.0,0.15659953208463245,3.3157705427098603e+25,1.8300073253074738e+25,0.1566,1.726e+25,1.653e+26,0.0029252039207607115,1.1118851807073906,1e-12,0.01,89121.60191853966,1.232216636933305e-06,1.2191044847690056e-15,1.221e-15,0.0,0.0
0.0052637116343910734,0.16949151462739254,64.0,0.15689747301913728,3.320362073348859e+25,9.64326810118149e+25,0.1569,1.736e+25,1.659e+26,0.0030020819855761426,1.5879328915887172,1e-12,0.001,42321.53048853216,4.358914554048402e-06,1.2186644884924414e-15,1.22e-15,0.0,0.0
0.006028070658613317,0.19410387520734876,64.0,0.17019991337634258,3.5042509315598284e+25,3.125567255026041e+24,0.1702,1.705e+25,1.503e+26,0.001758984892915391,1.0209219449149805,1e-12,0.1,105618.84205851684,2.7089433913786417e-07,1.2072451486868086e-15,1.209e-15,0.0,0.0
0.006028070658613317,0.19410387520734876,64.0,0.17019939395288886,3.5064258910453535e+25,1.975679678168642e+25,0.1702,1.707e+25,1.504e+26,0.002578009342655917,1.1325872647658448,1e-12,0.01,95625.73849812993,1.444899720255851e-06,1.2067370339537173e-15,1.209e-15,0.0,0.0
0.006028070658613317,0.19410387520734876,64.0,0.17059690524387808,3.5114202959896826e+25,9.843181119942467e+25,0.1706,1.721e+25,1.513e+26,0.002754858380177112,1.6579239136162567,1e-12,0.001,38932.32238347391,4.420451452726008e-06,1.206610094811057e-15,1.208e-15,0.0,0.0
0.006903424501414288,0.22229026894554002,64.0,0.18309988840757804,3.654725963932699e+25,3.3278888886948706e+24,0.1831,1.661e+25,1.361e+26,0.0025537292468557973,1.024685195973497,1e-12,0.1,118467.7024178222,3.2057926704639625e-07,1.2086275832105977e-15,1.211e-15,0.0,0.0
0.006903424501414288,0.22229026894554002,64.0,0.1831992279171295,3.6557418654422374e+25,2.1100026919397707e+25,0.1832,1.664e+25,1.362e+26,0.0024825445746285784,1.15637477508761,1e-12,0.01,102730.18778557987,1.6804554513205051e-06,1.208693937440283e-15,1.211e-15,0.0,0.0
0.006903424501414288,0.22229026894554002,64.0,0.183696303620285,3.6615549720822216e+25,9.8526845525321e+25,0.1837,1.681e+25,1.372e+26,0.002879673609082217,1.7269787314628167,1e-12,0.001,34964.20250359115,4.330611251996557e-06,1.2088441034830504e-15,1.211e-15,0.0,0.0
0.007905891046355131,0.2545696916926352,64.0,0.19389986305416304,3.7526935773528794e+25,3.49393289723552e+24,0.1939,1.611e+25,1.246e+26,0.0018873580536464556,1.0283348108751174,1e-12,0.1,125337.37928716086,3.3915690131193794e-07,1.2206764804793164e-15,1.222e-15,0.0,0.0
0.007905891046355131,0.2545696916926352,64.0,0.19599902834753496,3.7750806817075422e+25,2.235982149769967e+25,0.196,1.607e+25,1.23e+26,0.002707311445745485,1.1837103163211047,1e-12,0.01,110193.50717873858,1.9402388106855123e-06,1.2226965479970815e-15,1.225e-15,0.0,0.0
0.007905891046355131,0.2545696916926352,64.0,0.196695667520017,3.7803190274264273e+25,9.694243884719372e+25,0.1967,1.628e+25,1.242e+26,0.0026100874555669076,1.790307829462246,1e-12,0.001,30392.38918697606,4.080379465620747e-06,1.2239206476131953e-15,1.226e-15,0.0,0.0
0.009053928702201841,0.29153650421089927,64.0,0.20879981956557409,3.8678326155841773e+25,3.7329775730093363e+24,0.2088,1.542e+25,1.108e+26,0.0026037179583240197,1.0340118166008994,1e-12,0.1,144154.23771347143,3.924955559077361e-07,1.2483961364620524e-15,1.25e-15,0.0,0.0
0.009053928702201841,0.29153650421089927,64.0,0.2088987880277437,3.867756341256075e+25,2.353210329295118e+25,0.2089,1.546e+25,1.11e+26,0.0026241027156018895,1.2140283572499424,1e-12,0.01,117767.5129996952,2.2236304827522987e-06,1.2488038804283012e-15,1.251e-15,0.0,0.0
0.009053928702201841,0.29153650421089927,64.0,0.20979501642900555,3.87566619190654e+25,9.398129542038522e+25,0.2098,1.569e+25,1.121e+26,0.0028974870323077748,1.8491033740869738,1e-12,0.001,25414.174295161705,3.682072915706646e-06,1.250450687425228e-15,1.253e-15,0.0,0.0
