0.6047E-02,0.5481E+00,0.1388E-03
0.1814E-01,0.5480E+00,0.1583E-03
0.3024E-01,0.5479E+00,0.1973E-03
0.4233E-01,0.5478E+00,0.2120E-03
0.5442E-01,0.5477E+00,0.2126E-03
0.6652E-01,0.5477E+00,0.2047E-03
0.7861E-01,0.5476E+00,0.1917E-03
0.9071E-01,0.5476E+00,0.1758E-03
0.1028E+00,0.5476E+00,0.1589E-03
0.1149E+00,0.5475E+00,0.1419E-03
0.1270E+00,0.5475E+00,0.1253E-03
0.1391E+00,0.5475E+00,0.1095E-03
0.1512E+00,0.5475E+00,0.9563E-04
0.1633E+00,0.5475E+00,0.8411E-04
0.1754E+00,0.5475E+00,0.7408E-04
0.1875E+00,0.5475E+00,0.6618E-04
0.1996E+00,0.5475E+00,0.6105E-04
0.2117E+00,0.5475E+00,0.5786E-04
0.2237E+00,0.5475E+00,0.5743E-04
0.2358E+00,0.5475E+00,0.5943E-04
0.2479E+00,0.5475E+00,0.6395E-04
0.2600E+00,0.5475E+00,0.7118E-04
0.2721E+00,0.5475E+00,0.8062E-04
0.2842E+00,0.5475E+00,0.9289E-04
0.2963E+00,0.5475E+00,0.1071E-03
0.3084E+00,0.5475E+00,0.1241E-03
0.3205E+00,0.5475E+00,0.1437E-03
0.3326E+00,0.5475E+00,0.1652E-03
0.3447E+00,0.5475E+00,0.1895E-03
0.3568E+00,0.5475E+00,0.2159E-03
0.3689E+00,0.5475E+00,0.2443E-03
0.3810E+00,0.5474E+00,0.2754E-03
0.3931E+00,0.5474E+00,0.3087E-03
0.4052E+00,0.5474E+00,0.3435E-03
0.4173E+00,0.5474E+00,0.3809E-03
0.4293E+00,0.5473E+00,0.4207E-03
0.4414E+00,0.5473E+00,0.4621E-03
0.4535E+00,0.5473E+00,0.5054E-03
0.4656E+00,0.5472E+00,0.5509E-03
0.4777E+00,0.5472E+00,0.5986E-03
0.4898E+00,0.5471E+00,0.6479E-03
0.5019E+00,0.5470E+00,0.6989E-03
0.5140E+00,0.5469E+00,0.7520E-03
0.5261E+00,0.5468E+00,0.8069E-03
0.5382E+00,0.5467E+00,0.8636E-03
0.5503E+00,0.5466E+00,0.9220E-03
0.5624E+00,0.5465E+00,0.9821E-03
0.5745E+00,0.5463E+00,0.1044E-02
0.5866E+00,0.5462E+00,0.1107E-02
0.5987E+00,0.5460E+00,0.1172E-02
0.6108E+00,0.5458E+00,0.1239E-02
0.6229E+00,0.5456E+00,0.1308E-02
0.6350E+00,0.5454E+00,0.1377E-02
0.6470E+00,0.5451E+00,0.1449E-02
0.6591E+00,0.5449E+00,0.1522E-02
0.6712E+00,0.5446E+00,0.1596E-02
0.6833E+00,0.5443E+00,0.1672E-02
0.6954E+00,0.5439E+00,0.1750E-02
0.7075E+00,0.5435E+00,0.1828E-02
0.7196E+00,0.5432E+00,0.1908E-02
0.7317E+00,0.5427E+00,0.1990E-02
0.7438E+00,0.5423E+00,0.2073E-02
0.7559E+00,0.5418E+00,0.2158E-02
0.7680E+00,0.5413E+00,0.2244E-02
0.7801E+00,0.5408E+00,0.2330E-02
0.7922E+00,0.5402E+00,0.2418E-02
0.8043E+00,0.5396E+00,0.2507E-02
