Te(K),D*N(1/m-s)
14242.611872290976,1.182e+25
14644.901832833688,1.167e+25
15054.928138771449,1.153e+25
15480.427135499316,1.138e+25
15913.662477622236,1.124e+25
16362.370510535262,1.11e+25
16818.814888843335,1.097e+25
17290.731957941516,1.083e+25
17778.1217178298,1.069e+25
18280.98416850819,1.057e+25
18791.58296458163,1.044e+25
19325.39079684023,1.03e+25
19866.934974493877,1.017e+25
20423.95184293763,1.004e+25
21004.177747566537,9.916e+24
21592.1399975905,9.78e+24
22203.31128379962,9.651e+24
22822.21891540379,9.521e+24
23464.335583193115,9.393e+24
24129.661287167604,9.265e+24
24802.723336537136,9.137e+24
25506.73076748688,9.01e+24
26218.474543831675,8.883e+24
26961.16370175668,8.757e+24
27719.325550471793,8.632e+24
28500.696435372054,8.507e+24
29297.540011062425,8.385e+24
30125.328968333004,8.263e+24
30968.59061639369,8.143e+24
31842.797646034574,8.026e+24
32740.213711860626,7.91e+24
33660.83881387183,7.799e+24
34604.672952068184,7.69e+24
35579.45247184476,7.586e+24
36577.44102780648,7.489e+24
37606.37496534841,7.401e+24
38666.25428447056,7.328e+24
39757.07898517291,7.279e+24
40871.11272206042,7.239e+24
42023.82818592319,7.171e+24
43207.48903136616,7.094e+24
44422.095258389345,7.019e+24
45675.38321238779,6.949e+24
46959.61654796645,6.887e+24
48282.53161052036,6.832e+24
49636.39205465449,6.784e+24
51028.934225763864,6.743e+24
52467.89446924357,6.707e+24
53945.53643969852,6.677e+24
55461.86013712873,6.652e+24
57024.601906929274,6.631e+24
58626.02540370507,6.615e+24
60273.86697285117,6.605e+24
61975.86295976263,6.6e+24
63716.54067364937,6.6e+24
65511.37280530146,6.605e+24
67352.62300932386,6.614e+24
69248.02763111163,6.628e+24
71189.85032526973,6.644e+24
73193.56378258823,6.665e+24
75259.16800306714,6.692e+24
77363.45395052133,6.723e+24
79529.63066113592,6.76e+24
81773.17082570105,6.802e+24
84094.07444421668,6.849e+24
86492.34151668283,6.899e+24
88890.60858914901,6.954e+24
91366.2391155657,7.014e+24
93996.59654988341,7.08e+24
96626.95398420113,7.151e+24
99334.67487246939,7.224e+24
102119.75921468814,7.304e+24
104982.20701085744,7.39e+24
107922.01826097723,7.48e+24
111016.5564189981,7.573e+24
114111.09457701896,7.673e+24
117282.99618899034,7.777e+24
120609.62470886274,7.886e+24
