1.580000e+1,0.000000e+0
1.600000e+1,2.020000e-22
1.700000e+1,1.340000e-21
1.800000e+1,2.940000e-21
2.000000e+1,6.300000e-21
2.200000e+1,9.300000e-21
2.375000e+1,1.150000e-20
2.500000e+1,1.300000e-20
2.650000e+1,1.450000e-20
3.000000e+1,1.800000e-20
3.250000e+1,1.990000e-20
3.500000e+1,2.170000e-20
3.750000e+1,2.310000e-20
4.000000e+1,2.390000e-20
5.000000e+1,2.530000e-20
5.500000e+1,2.600000e-20
1.000000e+2,2.850000e-20
1.500000e+2,2.520000e-20
2.000000e+2,2.390000e-20
3.000000e+2,2.000000e-20
5.000000e+2,1.450000e-20
7.000000e+2,1.150000e-20
1.000000e+3,8.600000e-21
1.500000e+3,6.400000e-21
2.000000e+3,5.200000e-21
3.000000e+3,3.600000e-21
5.000000e+3,2.400000e-21
7.000000e+3,1.800000e-21
1.000000e+4,1.350000e-21
