Te(K),kf(m3/s)
215998.76342985555,1.942e-13
222110.47629194672,1.933e-13
228299.55260798844,1.924e-13
234720.7192858817,1.914e-13
241373.97632562654,1.904e-13
248181.96027327242,1.893e-13
255144.67112881932,1.882e-13
262339.4723462178,1.871e-13
269689.0004715173,1.859e-13
277270.61895866843,1.847e-13
285084.3278076711,1.835e-13
293130.1270185253,1.822e-13
301330.6531372806,1.809e-13
309840.6330718379,1.796e-13
318505.33991429635,1.783e-13
327479.50057255675,1.769e-13
336685.7515926688,1.755e-13
346201.4564285829,1.741e-13
355949.2516263486,1.726e-13
365929.13718596584,1.712e-13
376218.4765613852,1.697e-13
386817.26975260663,1.682e-13
